Make_Model,Electric Range_mean,Electric Range_median,Electric Range_var,Electric Range_std,Electric Range_sem
ALFA ROMEO / TONALE,33.0,33.0,0.0,0.0,0.0
AUDI / A3,16.0,16.0,0.0,0.0,0.0
AUDI / A7 E,24.0,24.0,0.0,0.0,0.0
AUDI / A8 E,17.0,17.0,0.0,0.0,0.0
AUDI / E-TRON,207.6937212863706,204.0,52.92445438232226,7.274919544731905,0.2846896012129322
AUDI / E-TRON SPORTBACK,218.0,218.0,0.0,0.0,0.0
AUDI / Q5,22.612676056338028,23.0,0.23898711417440782,0.4888630832599326,0.04102447862311777
AUDI / Q5 E,20.522198731501057,20.0,4.780988176337008,2.186547089896993,0.07109077792855642
AZURE DYNAMICS / TRANSIT CONNECT ELECTRIC,56.0,56.0,0.0,0.0,0.0
BENTLEY / BENTAYGA,22.666666666666668,23.0,30.33333333333334,5.507570547286103,3.1797973380564857
BENTLEY / FLYING SPUR,21.0,21.0,0.0,0.0,0.0
BMW / 330E,18.2019801980198,20.0,11.25277384881345,3.354515441731257,0.14927397794893757
BMW / 530E,16.12240184757506,16.0,3.6076682918484284,1.8993862934770347,0.09127868009978286
BMW / 740E,14.0,14.0,0.0,0.0,0.0
BMW / 745E,16.0,16.0,0.0,0.0,0.0
BMW / 745LE,16.0,16.0,0.0,0.0,0.0
BMW / 750E,36.0,36.0,0.0,0.0,0.0
BMW / I3,92.03294367693942,81.0,547.2865271090003,23.39415583236549,0.539259207264023
BMW / I8,14.880434782608695,14.0,2.150382226469183,1.4664181622133514,0.15288466192828468
BMW / X3,17.0,17.0,0.0,0.0,0.0
BMW / X5,28.952841128720525,30.0,70.07511470135503,8.371088023749065,0.16458251490938625
BMW / XM,31.0,31.0,0.0,0.0,0.0
CADILLAC / CT6,31.0,31.0,0.0,0.0,0.0
CADILLAC / ELR,37.46835443037975,37.0,1.4573190522557626,1.2071947035403041,0.13582001550151745
CHEVROLET / BOLT EV,244.9849300322928,238.0,97.91536285578407,9.89521919190192,0.1451886140890343
CHEVROLET / SPARK,82.0,82.0,0.0,0.0,0.0
CHEVROLET / VOLT,45.39813084112149,53.0,62.15159600697361,7.883628352920603,0.11361299196525325
CHRYSLER / PACIFICA,32.170947030497594,32.0,0.14176206783838116,0.37651303807223085,0.006158293329794343
DODGE / HORNET,32.0,32.0,0.0,0.0,0.0
FIAT / 500,85.62692307692308,87.0,2.2367581712254423,1.4955795435968768,0.053550337823941495
FISKER / KARMA,33.0,33.0,0.0,0.0,0.0
FORD / C-MAX,19.17820424948595,19.0,0.14654793904914468,0.382815803029531,0.01002218030400676
FORD / ESCAPE,37.60980810234542,38.0,0.2384506041222469,0.4883140425200231,0.02254824744735656
FORD / FOCUS,79.24890829694323,76.0,67.71408871523789,8.228857072232929,0.5437781813817931
FORD / FUSION,20.472396129766647,19.0,5.341635086727604,2.3111977601943985,0.05513802769693757
FORD / RANGER,61.55555555555556,58.0,49.77777777777777,7.055336829505574,2.351778943168525
HONDA / ACCORD,13.0,13.0,0.0,0.0,0.0
HONDA / CLARITY,47.00821596244131,47.0,0.008158035561587167,0.09032184432122257,0.003094375398985083
HYUNDAI / IONIQ,81.5595667870036,29.0,4095.23285198556,63.994006375484574,3.8450271940119687
HYUNDAI / KONA,258.0,258.0,0.0,0.0,0.0
HYUNDAI / SANTA FE,30.331932773109244,30.0,0.22268907563025173,0.47189943381005633,0.030588697013783663
HYUNDAI / SONATA,27.075949367088608,27.0,0.07108081791626085,0.26660986087588895,0.029995952873903314
HYUNDAI / TUCSON,33.0,33.0,0.0,0.0,0.0
JAGUAR / I-PACE,234.0,234.0,0.0,0.0,0.0
JEEP / GRAND CHEROKEE,25.0,25.0,0.0,0.0,0.0
JEEP / WRANGLER,21.417395529640427,21.0,1.3688735067017699,1.1699886780228985,0.018236604351296766
KIA / NIRO,119.71648987463838,33.0,10876.764735188746,104.29172898743575,2.29005277751699
KIA / OPTIMA,28.87,29.0,0.11424242424242458,0.33799766898963163,0.03379976689896316
KIA / SORENTO,31.870689655172413,32.0,0.24224758124534884,0.492186530946702,0.018656282309329107
KIA / SOUL,93.0,93.0,0.0,0.0,0.0
KIA / SOUL EV,99.05607476635514,93.0,72.67289719626166,8.524840010009669,0.5827460660979399
KIA / SPORTAGE,34.0,34.0,0.0,0.0,0.0
LAND ROVER / RANGE ROVER,36.0,19.0,363.4782608695652,19.065105844698717,3.891648434305427
LAND ROVER / RANGE ROVER SPORT,26.5,19.0,248.93617021276594,15.77771118422333,2.277316449851877
LEXUS / NX,37.0,37.0,0.0,0.0,0.0
LEXUS / RX,37.0,37.0,0.0,0.0,0.0
LEXUS / TX,33.0,33.0,0.0,0.0,0.0
LINCOLN / AVIATOR,21.0,21.0,0.0,0.0,0.0
LINCOLN / CORSAIR,28.0,28.0,0.0,0.0,0.0
MAZDA / CX-70,26.0,26.0,0.0,0.0,0.0
MAZDA / CX-90,26.0,26.0,0.0,0.0,0.0
MERCEDES-BENZ / B-CLASS,87.0,87.0,0.0,0.0,0.0
MERCEDES-BENZ / C-CLASS,8.631578947368421,8.0,1.5789473684210522,1.2565617248750864,0.28827503026587686
MERCEDES-BENZ / GLC-CLASS,11.932038834951456,10.0,20.941700213118626,4.576210245729388,0.3188396758539221
MERCEDES-BENZ / GLE-CLASS,38.49723756906077,48.0,282.97360343769196,16.82181926658624,1.250355979008135
MERCEDES-BENZ / S-CLASS,23.125,14.0,254.3833333333333,15.949399152737174,3.9873497881842934
MINI / COUNTRYMAN,13.38888888888889,12.0,5.0387596899224825,2.244718176057405,0.15273372632476603
MINI / HARDTOP,110.0,110.0,0.0,0.0,0.0
MITSUBISHI / I-MIEV,61.94736842105263,62.0,0.15789473684210642,0.39735970711951457,0.05263157894736861
MITSUBISHI / OUTLANDER,29.26046986721144,24.0,60.712249676749586,7.7918065733659985,0.24902721806835848
NISSAN / LEAF,105.0505387622771,84.0,1301.9102817524292,36.08199387163117,0.3523423887855439
POLESTAR / PS2,233.0,233.0,0.0,0.0,0.0
PORSCHE / 918,12.0,12.0,,,
PORSCHE / CAYENNE,17.369897959183675,14.0,116.96512735528994,10.815041717686064,0.5462420955279444
PORSCHE / PANAMERA,15.795774647887324,16.0,2.2487763460193793,1.499592059868076,0.12584297016910218
PORSCHE / TAYCAN,198.51315789473685,203.0,29.35224901460705,5.417771591217837,0.3588006887877897
SMART / EQ FORTWO,58.0,58.0,0.0,0.0,0.0
SMART / FORTWO,62.175438596491226,58.0,25.147243107769413,5.014702693856278,0.6642135979073881
SMART / FORTWO ELECTRIC DRIVE,63.298507462686565,68.0,25.09819324430478,5.00980970140631,0.4327816419216093
SUBARU / CROSSTREK,17.0,17.0,0.0,0.0,0.0
TESLA / MODEL 3,238.783365144619,220.0,1488.1005587359139,38.57590645384647,0.3305184457998399
TESLA / MODEL S,227.53977368687723,210.0,1185.3312302866157,34.42863968103613,0.4474271492929783
TESLA / MODEL X,240.55656108597285,238.0,1495.5178469512334,38.67192582418457,0.6716670346348356
TESLA / MODEL Y,291.0,291.0,0.0,0.0,0.0
TESLA / ROADSTER,234.0625,245.0,157.08111702127658,12.533200589684846,1.8090116835655305
TH!NK / CITY,100.0,100.0,0.0,0.0,0.0
TOYOTA / PRIUS PLUG-IN,6.0,6.0,0.0,0.0,0.0
TOYOTA / PRIUS PRIME,26.958829205532325,25.0,23.594186016186626,4.857384688923313,0.08711483903735287
TOYOTA / RAV4,102.57142857142857,103.0,3.3038961038961063,1.8176622634296247,0.2428953369507749
TOYOTA / RAV4 PRIME,42.0,42.0,0.0,0.0,0.0
VOLKSWAGEN / E-GOLF,107.16869728209934,125.0,431.36363460527383,20.769295476863768,0.6358278625994627
VOLVO / S60,31.115606936416185,22.0,90.62609221669574,9.519773748188333,0.7237749954420524
VOLVO / S90,24.77777777777778,21.0,51.37777777777779,7.167829363048327,1.1946382271747211
VOLVO / V60,38.35443037974684,41.0,43.8214865303473,6.61977994576461,0.7447834323772493
VOLVO / XC60,26.923413566739605,35.0,74.86347330256035,8.652368074842883,0.23367715624294286
VOLVO / XC90,23.98074745186863,18.0,63.79113054581496,7.9869349907092,0.19005740705406002
WHEEGO ELECTRIC CARS / WHEEGO,100.0,100.0,0.0,0.0,0.0
